경기 일정,지역,비고,시간,3-시간,2-시간,1-시간,0시간,1시간,2시간,누적 강수량
2020-08-16,광주,0,17:00,0,0,0,0,0,0,0
2020-08-21,광주,0,18:30,0,0,0,0,0,0,0
2020-08-29,광주,1,18:00,0,15.1,10.7,0.6,0,0,26.4
2020-08-30,광주,0,14:00,0,0,0,0,0,0,0
2020-08-30,광주,0,17:00,0,0,0,0,0,0,0
2020-09-01,광주,0,18:30,0,0,0,0,0,0,0
2020-09-02,광주,1,18:30,0,0,0.9,3.2,1.4,3.8,9.3
2020-09-08,광주,0,18:30,0,0,0,0,0,0,0
2020-09-09,광주,1,18:30,0,0,0,0,0.3,3,0
2020-09-10,광주,0,18:30,0,0,0,0,0,0,0
2020-09-11,광주,1,18:30,4.8,3.6,2.4,0.2,0.5,4.5,11
2020-09-15,광주,0,18:30,0,0,0,0,0,0,0
2020-09-16,광주,0,18:30,0,0,0,0,0,0.4,0
2020-09-19,광주,0,17:00,0,0,0,0,0,0,0
2020-09-20,광주,0,14:00,0,0,0,0,0,0,0
2020-09-22,광주,0,18:30,0,0,0,0,0,0,0
2020-09-23,광주,0,18:30,0,0,0,0,0,0,0
2020-09-26,광주,0,17:00,0,0,0,0,0,0,0
2020-09-27,광주,0,14:00,0,0,0,0,0,0,0
2020-10-06,광주,0,18:30,0,0,0,0,0,0,0
2020-10-07,광주,0,15:00,0,0,0,0,0,0,0
2020-10-07,광주,0,18:30,0,0,0,0,0,0,0
2020-10-08,광주,0,18:30,0,0,0,0,0,0,0
2020-10-09,광주,0,17:00,0,0,0,0,0,0,0
2020-10-10,광주,0,17:00,0,0,0,0,0,0,0
2020-10-11,광주,0,14:00,0,0,0,0,0,0,0
